"threat_id","threat:name","threat:category","threat:severity","threat:cve"
10585,"CIA_1_22 Get password","data-theft",high,
10313,"Ezula_Toptext Popup",adware,low,
10328,"FeRAT_1",adware,high,
10373,"Wintective_Keylogger",keylogger,high,
10046,"Scar User-Agent Traffic",spyware,medium,
10522,SearchBossToolbar,adware,low,
10223,"FunBuddyIcons View Fub Buddy icons","browser-hijack",low,
10286,"Virtumonde info post",adware,low,
10353,"Opwin_Trojan_1_1 connection and action commands:",adware,high,
10766,"Hornet_1_0 fetch processes list",adware,high,
10501,"StealthRedirector destory log",adware,medium,
10614,"Millenium_1_0",backdoor,high,
10920,"RichFind autosearch redirect","browser-hijack",medium,
10780,"Seekmo Download .CAB",adware,low,
10411,"Neurotickat_1_3 initial connection",adware,high,
10878,"PluginAccess get pin",adware,medium,
10847,"ABetterNet_Aurora tracking surfing activity",adware,medium,
10461,"Piolet gateway request",adware,low,
10892,"ProRat1_9 icq notification",backdoor,high,
10376,"PerfectKeylogger FTP action",keylogger,high,
10834,"LameSpy_0_95",adware,high,
10846,"ABetterNet_Aurora POST DATA",adware,medium,
10502,"StealthRedirector check status",adware,medium,
10301,"Extreme_Biz all.php",adware,medium,
10913,"Virtual_Bouncer update checking",adware,medium,
10904,"Rads01_Quadrogram",adware,low,
10511,FDM,adware,low,
10406,"OfferAgent information checking","data-theft",low,
10840,"CoolWebSearch_AboutBlank_Variant","browser-hijack",medium,
10024,"Geral User-Agent Traffic",spyware,medium,
10226,"FunBuddyIcons Hijack IE auto search","browser-hijack",low,
10611,"UCmore Click sponsor/ad link",adware,low,
10570,"Mosucker_3_0",adware,high,
10519,"PtakkS_2_1 issuing commands",backdoor,high,
10515,"MyNapster gcache requests",adware,low,
10552,"Lop Collect informtation request 2","data-theft",low,
10045,"Hupigon User-Agent Traffic",spyware,medium,
10651,"Gator_eWallet runtime2",adware,low,
10872,"Sandesa_1_5",adware,medium,
10686,"HackerWacker HWPE word filtered echelon log",keylogger,high,
10667,Aornum,adware,low,
10400,"Smart_Finder Keys update",adware,medium,
10566,"StealthWatcher_2000 agent up notification",keylogger,high,
10734,"Force_Trojan keylogger",keylogger,high,
10724,"Katux_2_0 chat",adware,high,
10503,"StealthRedirector destory tcp redirection or FTP redirection",adware,medium,
10420,"AcidDrop_1_0 Get stored password","data-theft",high,
10700,"IST_SlotchBar Installtime",adware,low,
10516,"Smitfraud_Desktop_Hijacker","browser-hijack",low,
10814,"Smart_Search 1 pop up ads","browser-hijack",medium,
10393,"Roach_1_0 email notification",adware,high,
10033,"Parite User-Agent Traffic",spyware,medium,
10225,"FunBuddyIcons mysaconfg request","browser-hijack",low,
10939,"BEEE smtp",adware,high,
10504,"StealthRedirector create ftp redirection",adware,medium,
10011,"Katusha User-Agent Traffic",spyware,medium,
10933,"Saria_1_0",adware,high,
10908,"WhenU_ClockSync",adware,medium,
10017,"Sality User-Agent Traffic",spyware,medium,
10991,"Trojan_Abwiz_C runtime2",adware,high,
10820,ActivityLogger,adware,high,
10377,"Adtraffic notfound website search hijack and redirection","browser-hijack",medium,
10712,"Warez_P2P cache.dat request",adware,low,
10841,"Chinese_Keywords","browser-hijack",medium,
10064,"Vmprotect User-Agent Traffic",spyware,medium,
10819,"AutoSpy get info",adware,high,
10443,"SearchingAll toolbar update",adware,medium,
10497,"StealthRedirector check status",adware,medium,
10484,"Dark_Moon reverse connection",adware,high,
10716,"Warez_P2P Warez p2p client home",adware,low,
10603,"NightCreature_Beta_0_01_Demo",adware,high,
10635,"Comet_Systems log report","browser-hijack",medium,
10710,"Warez_P2P Pass user information","data-theft",low,
10678,"traffbest_biz",backdoor,medium,
10378,"A311Death initial connection",adware,high,
10649,"DotComToolbar search in toolbar search in toolbar",adware,medium,
10512,"MyNapster Ads",adware,low,
10606,"Delirium_Of_Disorder 1 start/stop keylogger",keylogger,high,
10911,"Virtual_Bouncer software status reporting",adware,medium,
10642,WebCpr,adware,low,
10771,"RAXSearch Send search keywords to raxsearch.com","data-theft",low,
10389,"Planet initial connection",adware,high,
10005,"AVGDM User-Agent Traffic",spyware,medium,
10041,"Vbtroj User-Agent Traffic",spyware,medium,
10883,"Shopnav Self-update request 1","browser-hijack",medium,
10917,"NetDemon_1_0 initial connection",adware,medium,
10703,"Nuclear_Scan scan",adware,medium,
10557,"Exception_1_0 initial connection",adware,high,
10824,"Cool_Search","browser-hijack",medium,
10563,"7FaSST Auto requests",adware,low,
10963,HansonEllisToolbar,adware,low,
10567,"StealthWatcher_2000 agent discover broadcast",keylogger,high,
10015,"Generic User-Agent Traffic",spyware,medium,
10958,"WebRebates rebate popup windows",adware,medium,
10016,"Virut User-Agent Traffic",spyware,medium,
10319,"BrowserPal Post user information to its server","data-theft",low,
10699,"ElfRat 1 icq notification",adware,high,
10416,"HunterGop_1_5 destroy victim machine",adware,high,
10981,"EzCyberSearch Check update","browser-hijack",medium,
10048,"Swisyn User-Agent Traffic",spyware,medium,
10492,"Minicom_Lite UDP broadcast",adware,high,
10399,"Smart_Finder Track hits","data-theft",medium,
10702,"Nuclear_Scan Scan Started",adware,medium,
10269,"Painter redirect yahoo search through online-casino-searcher","browser-hijack",medium,
10449,"EasyDates information disclosure","data-theft",medium,
10705,"MyWebSearch_Toolbar mysaconfg request","browser-hijack",medium,
10690,"Trellian_Search_Toolbar",adware,low,
10636,"Comet_Systems Update requests Track activity","browser-hijack",medium,
10010,"Swizzor User-Agent Traffic",spyware,medium,
10633,"Comet_Systems Update requests","browser-hijack",medium,
10666,"Ini_Killer_3_0",adware,high,
10438,"Activity_Monitor_3_8 init connection",keylogger,high,
10960,"Evade_1_1 2 upload file",adware,high,
10650,"DotComToolbar toolbar information retrieve toolbar information retrieve","data-theft",medium,
10823,"Greek_Hackers_Rat_1_0 Initial connection",adware,high,
10218,HotOffers,adware,low,
10412,"AskJeevesToolbar Switch toolbar search option",adware,low,
10380,PartyPoker,adware,low,
10577,"Active_KeyLogger",keylogger,high,
10065,"Fakealert User-Agent Traffic",spyware,medium,
10559,"Exception_1_0 notification",adware,high,
10013,"Bagle User-Agent Traffic",spyware,medium,
10469,"TrustyFiles_3_1_0_1 startup access",adware,low,
10524,"HatredFriend file manager command submission",adware,low,
10520,"PtakkS_2_1 keepalive/acknowledgement",backdoor,high,
10457,"WowOk_MP3_Bar_1_0 tracking surfing behavior","data-theft",medium,
10903,"Altavista_Toolbar Get toolbar cfg",adware,low,
10521,"Downloader_AAV",adware,high,
10634,"Comet_Systems Search Request 1 log","browser-hijack",medium,
10273,BlazeFind,adware,medium,
10998,NetGuide,adware,high,
10040,"Sidetab User-Agent Traffic",spyware,medium,
10537,"TheSnakeTrojan icq notification",adware,high,
10583,"CIA_1_22 Download file",adware,high,
10877,"PluginAccess active proxy",adware,medium,
10697,"Insurrection_1_1_0  initial connection",adware,high,
10929,"XBarre Get toolbar settings","browser-hijack",medium,
10655,"MiniCommand_2_0_3 initial connection",adware,high,
10995,"Halflife_Jacker",adware,high,
10020,"Cycbot User-Agent Traffic",spyware,medium,
10644,"Phase_Zero_1_0",adware,high,
10529,"Supreme_Toolbar third party information collection","data-theft",low,
10640,"Remoter Hide/show taskbar",adware,high,
10980,"EzCyberSearch Add Cool Sites to IE s Favorites","browser-hijack",medium,
10969,"CIA_1_3 2 icq notification",adware,high,
10986,"Super_Fast_MP3_Search searching songs by name",adware,medium,
10681,"SkyRat_Show setup init",adware,high,
10066,"Pincav User-Agent Traffic",spyware,medium,
10613,"UCmore Track activity",adware,low,
10795,"Cookie_Monster_0_24 kill kernel32.dll",adware,high,
10871,"ANWB_Toolbar display ads 2",adware,medium,
10861,"NetControl_TakeOver",adware,high,
10714,"Warez_P2P Update request",adware,low,
10545,"Drop_Agent_ada getdis.php",adware,low,
10782,"Seekmo Pop up ads",adware,low,
10985,"Win32Unclassified_ATrojanDownloader",adware,high,
10999,"Twister songs found",adware,medium,
10532,"Phantom_FTP",adware,high,
10696,"Insurrection_1_1_0 icq notification 2",adware,high,
10865,"BackAge_3_1",backdoor,high,
10543,Netster,adware,low,
10219,ZToolbar,adware,low,
10325,"2Seek_Toolbar user info collection",adware,medium,
10270,"Painter redirect to klikvipsearch","browser-hijack",medium,
10495,"AltNet Initial Retrieval",adware,medium,
10947,"DSrch search assistant redirect",adware,medium,
